age;p10Be
10402;1.0216
10403;1.0268
10404;1.0317
10405;1.0365
10406;1.0411
10407;1.0454
10408;1.0494
10409;1.0531
10410;1.0565
10411;1.0595
10412;1.0622
10413;1.0646
10414;1.0667
10415;1.0685
10416;1.0701
10417;1.0714
10418;1.0725
10419;1.0735
10420;1.0742
10421;1.0749
10422;1.0755
10423;1.0761
10424;1.0766
10425;1.0771
10426;1.0776
10427;1.0782
10428;1.0789
10429;1.0796
10430;1.0805
10431;1.0814
10432;1.0825
10433;1.0837
10434;1.085
10435;1.0864
10436;1.088
10437;1.0896
10438;1.0914
10439;1.0931
10440;1.095
10441;1.0969
10442;1.0988
10443;1.1007
10444;1.1026
10445;1.1044
10446;1.1062
10447;1.1078
10448;1.1094
10449;1.1109
10450;1.1123
10451;1.1135
10452;1.1147
10453;1.1157
10454;1.1165
10455;1.1172
10456;1.1178
10457;1.1183
10458;1.1186
10459;1.1188
10460;1.1189
10461;1.1188
10462;1.1185
10463;1.118
10464;1.1174
10465;1.1165
10466;1.1154
10467;1.114
10468;1.1123
10469;1.1103
10470;1.108
10471;1.1053
10472;1.1023
10473;1.0988
10474;1.095
10475;1.0907
10476;1.0861
10477;1.0811
10478;1.0758
10479;1.0702
10480;1.0643
10481;1.0581
10482;1.0519
10483;1.0455
10484;1.0391
10485;1.0327
10486;1.0265
10487;1.0204
10488;1.0145
10489;1.0089
10490;1.0036
10491;0.99863
10492;0.99405
10493;0.98986
10494;0.98608
10495;0.98269
10496;0.97971
10497;0.97711
10498;0.97488
10499;0.97301
10500;0.97147
10501;0.97024
10502;0.9693
10503;0.96864
10504;0.96823
10505;0.96807
10506;0.96816
10507;0.96848
10508;0.96905
10509;0.96986000000000006
10510;0.97094
10511;0.97229
10512;0.97393
10513;0.97589
10514;0.97819
10515;0.98084
10516;0.98386
10517;0.98727
10518;0.99108
10519;0.9953
10520;0.99991
10521;1.0049
10522;1.0103
10523;1.016
10524;1.022
10525;1.0283
10526;1.0347
10527;1.0413
10528;1.048
10529;1.0547
10530;1.0614
10531;1.0679
10532;1.0743
10533;1.0804
10534;1.0862
10535;1.0917
10536;1.0968
10537;1.1015
10538;1.1057
10539;1.1096
10540;1.113
10541;1.116
10542;1.1186
10543;1.1208
10544;1.1226
10545;1.124
10546;1.1252
10547;1.126
10548;1.1266
10549;1.1269
10550;1.1269
10551;1.1268
10552;1.1264
10553;1.1258
10554;1.125
10555;1.124
10556;1.1228
10557;1.1215
10558;1.1199
10559;1.1181
10560;1.1161
10561;1.1139
10562;1.1116
10563;1.109
10564;1.1063
10565;1.1034
10566;1.1004
10567;1.0972
10568;1.094
10569;1.0907
10570;1.0873
10571;1.084
10572;1.0807
10573;1.0774
10574;1.0742
10575;1.0712
10576;1.0683
10577;1.0656
10578;1.063
10579;1.0606
10580;1.0585
10581;1.0565
10582;1.0547
10583;1.0532
10584;1.0518
10585;1.0506
10586;1.0496
10587;1.0488
10588;1.0481
10589;1.0475
10590;1.0471
10591;1.0468
10592;1.0465
10593;1.0464
10594;1.0464
10595;1.0464
10596;1.0465
10597;1.0466
10598;1.0469
10599;1.0471
10600;1.0475
10601;1.0479
10602;1.0484
10603;1.0489
10604;1.0495
10605;1.0501
10606;1.0509
10607;1.0516
10608;1.0525
10609;1.0534
10610;1.0543
10611;1.0553
10612;1.0563
10613;1.0574
10614;1.0585
10615;1.0596
10616;1.0607
10617;1.0618
10618;1.0628
10619;1.0639
10620;1.0649
10621;1.0658
10622;1.0667
10623;1.0676
10624;1.0683
10625;1.0691
10626;1.0697
10627;1.0703
10628;1.0708
10629;1.0713
10630;1.0717
10631;1.072
10632;1.0722
10633;1.0724
10634;1.0725
10635;1.0725
10636;1.0724
10637;1.0721
10638;1.0718
10639;1.0713
10640;1.0707
10641;1.0698
10642;1.0688
10643;1.0675
10644;1.066
10645;1.0641
10646;1.062
10647;1.0595
10648;1.0567
10649;1.0535
10650;1.05
10651;1.0461
10652;1.0418
10653;1.0372
10654;1.0323
10655;1.0271
10656;1.0216
10657;1.0159
10658;1.0101
10659;1.0042
10660;0.99821
10661;0.99227
10662;0.98641
10663;0.98068
10664;0.97514
10665;0.96983
10666;0.96479
10667;0.96005
10668;0.95564
10669;0.95157
10670;0.94785
10671;0.94448
10672;0.94147
10673;0.93879
10674;0.93643
10675;0.93439
10676;0.93264
10677;0.93116
10678;0.92995
10679;0.92899
10680;0.92827
10681;0.92779
10682;0.92755
10683;0.92756
10684;0.92784
10685;0.92839
10686;0.92925
10687;0.93044
10688;0.93199
10689;0.93394
10690;0.93631
10691;0.93913
10692;0.94244000000000006
10693;0.94626
10694;0.9506
10695;0.95548
10696;0.96088
10697;0.96681
10698;0.97323
10699;0.98011
10700;0.98741
10701;0.99507
10702;1.003
10703;1.0112
10704;1.0195
10705;1.0278
10706;1.0361
10707;1.0443
10708;1.0523
10709;1.06
10710;1.0674
10711;1.0744
10712;1.0809
10713;1.087
10714;1.0925
10715;1.0975
10716;1.102
10717;1.106
10718;1.1095
10719;1.1125
10720;1.1151
10721;1.1173
10722;1.1191
10723;1.1206
10724;1.1217
10725;1.1226
10726;1.1233
10727;1.1237
10728;1.124
10729;1.1241
10730;1.124
10731;1.1238
10732;1.1235
10733;1.1231
10734;1.1225
10735;1.1219
10736;1.1211
10737;1.1202
10738;1.1192
10739;1.1181
10740;1.1169
10741;1.1155
10742;1.114
10743;1.1124
10744;1.1107
10745;1.1088
10746;1.1069
10747;1.1048
10748;1.1027
10749;1.1004
10750;1.0982
10751;1.0958
10752;1.0935
10753;1.0912
10754;1.0888
10755;1.0866
10756;1.0843
10757;1.0822
10758;1.0801
10759;1.0782
10760;1.0763
10761;1.0746
10762;1.073
10763;1.0716
10764;1.0702
10765;1.069
10766;1.0679
10767;1.0669
10768;1.066
10769;1.0652
10770;1.0645
10771;1.0639
10772;1.0634
10773;1.0629
10774;1.0625
10775;1.0622
10776;1.0619
10777;1.0617
10778;1.0615
10779;1.0613
10780;1.0612
10781;1.0612
10782;1.0612
10783;1.0612
10784;1.0613
10785;1.0615
10786;1.0616
10787;1.0619
10788;1.0622
10789;1.0625
10790;1.0629
10791;1.0634
10792;1.0638
10793;1.0643
10794;1.0648
10795;1.0653
10796;1.0658
10797;1.0662
10798;1.0666
10799;1.0669
10800;1.0671
10801;1.0672
10802;1.0671
10803;1.067
10804;1.0666
10805;1.0662
10806;1.0656
10807;1.0649
10808;1.064
10809;1.0631
10810;1.062
10811;1.061
10812;1.0599
10813;1.0588
10814;1.0577
10815;1.0568
10816;1.0559
10817;1.0551
10818;1.0545
10819;1.0541
10820;1.0538
10821;1.0536
10822;1.0537
10823;1.0539
10824;1.0543
10825;1.0547
10826;1.0553
10827;1.056
10828;1.0567
10829;1.0575
10830;1.0582
10831;1.0589
10832;1.0594
10833;1.0599
10834;1.0603
10835;1.0605
10836;1.0606
10837;1.0605
10838;1.0602
10839;1.0598
10840;1.0593
10841;1.0587
10842;1.058
10843;1.0573
10844;1.0566
10845;1.056
10846;1.0554
10847;1.0551
10848;1.0549
10849;1.0549
10850;1.0552
10851;1.0557
10852;1.0566
10853;1.0577
10854;1.0591
10855;1.0608
10856;1.0628
10857;1.065
10858;1.0674
10859;1.0699
10860;1.0726
10861;1.0753
10862;1.0781
10863;1.0808
10864;1.0834
10865;1.086
10866;1.0885
10867;1.0909
10868;1.0931
10869;1.0951
10870;1.0971
10871;1.0989
10872;1.1006
10873;1.1022
10874;1.1037
10875;1.1052
10876;1.1066
10877;1.108
10878;1.1094
10879;1.1107
10880;1.1121
10881;1.1134
10882;1.1147
10883;1.116
10884;1.1172
10885;1.1183
10886;1.1193
10887;1.1201
10888;1.1208
10889;1.1212
10890;1.1215
10891;1.1215
10892;1.1213
10893;1.1208
10894;1.1202
10895;1.1193
10896;1.1182
10897;1.117
10898;1.1156
10899;1.1141
10900;1.1126
10901;1.111
10902;1.1095
10903;1.108
10904;1.1066
10905;1.1053
10906;1.1041
10907;1.103
10908;1.102
10909;1.1012
10910;1.1005
10911;1.0998000000000001
10912;1.0993
10913;1.0987
10914;1.0982
10915;1.0976
10916;1.097
10917;1.0962
10918;1.0953
10919;1.0943
10920;1.0931
10921;1.0916
10922;1.09
10923;1.0882
10924;1.0861
10925;1.0839
10926;1.0815
10927;1.0789
10928;1.0763
10929;1.0735
10930;1.0707
10931;1.0678
10932;1.0649
10933;1.062
10934;1.0591
10935;1.0561
10936;1.0532
10937;1.0503
10938;1.0474
10939;1.0444
10940;1.0414
10941;1.0384
10942;1.0352
10943;1.032
10944;1.0287
10945;1.0253
10946;1.0219
10947;1.0183
10948;1.0147
10949;1.011
10950;1.0074
10951;1.0037
10952;1.0001
10953;0.99662
10954;0.99324
10955;0.99001
10956;0.98699
10957;0.98419
10958;0.98166
10959;0.97942
10960;0.9775
10961;0.97592
10962;0.97471
10963;0.97386
10964;0.97341
10965;0.97334
10966;0.97367
10967;0.97439
10968;0.97549
10969;0.97697
10970;0.9788
10971;0.98095
10972;0.98342
10973;0.98616
10974;0.98913
10975;0.9923
10976;0.99562
10977;0.99904
10978;1.0025
10979;1.006
10980;1.0094
10981;1.0127
10982;1.0159
10983;1.0189
10984;1.0216
10985;1.024
10986;1.0261
10987;1.0279
10988;1.0292
10989;1.0302
10990;1.0308
10991;1.031
10992;1.0309
10993;1.0303
10994;1.0295
10995;1.0283
10996;1.0268
10997;1.0251
10998;1.0232
